district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Parung Panjang,Bogor,-6.3681068,106.5533873,03/06/2024,Rp 834.000.000,72 m²,64 m²,2,3,2,1,N/A,HGB,1300 Watt,Unfurnished,N/A
Dramaga,Bogor,-6.577668999999999,106.7319218,03/06/2024,Rp 499.000.000,110 m²,38 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2022
Gunung Putri,Bogor,-6.403049299999999,106.9299579,27/05/2024,Rp 500.000.000,70 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,N/A
Babakan Madang,Bogor,-6.5211331,106.8502879,20/05/2024,Rp 2.500.000.000,200 m²,180 m²,N/A,4,3,N/A,N/A,SHM,1300 Watt,Unfurnished,2002
Babakan Madang,Bogor,-6.5211331,106.8502879,20/05/2024,Rp 650.000.000,105 m²,55 m²,1,2,1,N/A,N/A,SHM,1300 Watt,Unfurnished,2000
Bogor Barat,Bogor,-6.5691114,106.7754728,20/05/2024,Rp 650.000.000,91 m²,70 m²,1,2,2,1,N/A,SHM,2200 Watt,Unfurnished,2014
Rumpin,Bogor,-6.4576306,106.6464973,20/05/2024,Rp 515.000.000,50 m²,55 m²,2,3,2,1,1,SHM,2200 Watt,Unfurnished,2024
Bogor Barat,Bogor,-6.5626206,106.7951616,13/05/2024,Rp 395.000.000,60 m²,36 m²,1,2,1,1,1,SHM,900 Watt,Unfurnished,2024
Bogor Timur,Bogor,-6.617944400000001,106.820343,13/05/2024,Rp 350.000.000,60 m²,50 m²,1,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2024
Tajur Halang,Bogor,-6.4974742,106.791291,06/05/2024,Rp 400.000.000,90 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Tajur Halang,Bogor,-6.4758182,106.7578498,06/05/2024,Rp 300.000.000,60 m²,29 m²,1,2,1,1,N/A,SHM,N/A,Unfurnished,N/A
Gunung Putri,Bogor,-6.3809703,106.9613015,29/04/2024,Rp 1.650.000.000,136 m²,100 m²,2,3,2,2,N/A,SHM,N/A,Unfurnished,N/A
Gunung Putri,Bogor,-6.3809703,106.9613015,29/04/2024,Rp 4.250.000.000,300 m²,400 m²,2,6,5,2,N/A,SHM,4400 Watt,Unfurnished,N/A
Ciomas,Bogor,-6.6019425,106.7656825,29/04/2024,Rp 258.000.000,60 m²,30 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Gunung Putri,Bogor,-6.403049299999999,106.9299579,22/04/2024,Rp 500.000.000,70 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,N/A
Gunung Putri,Bogor,-6.4288646,106.9240554,22/04/2024,Rp 600.000.000,84 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,N/A
