district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Panongan,Tangerang,-6.260340299999999,106.5235921,08/04/2024,Rp 3.100.000.000,200 m²,360 m²,2,6,3,4,1,SHM,7700 Watt,Full Furnished,2017
Karang Tengah,Tangerang,-6.2039169,106.7155548,14/05/2024,Rp 4.500.000.000,105 m²,156 m²,3,3,3,2,N/A,SHM,3300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 380.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 380.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karawaci,Tangerang,-6.1855302,106.6131874,26/05/2024,Rp 400.000.000,35 m²,35 m²,1,2,1,1,1,Strata Title,2200 Watt,Unfurnished,2015
Karawaci,Tangerang,-6.1855302,106.6131874,26/05/2024,Rp 700.000.000,60 m²,40 m²,2,2,2,1,1,HGB,2200 Watt,Unfurnished,2024
L'Agricola,Tangerang,-6.1701796,106.6403236,26/05/2024,Rp 2.500.000.000,136 m²,132 m²,2,3,1,1,2,PPJB,4400 Watt,Unfurnished,N/A
Tangerang,Tangerang,-6.1701796,106.6403236,19/05/2024,Rp 750.000.000,60 m²,64 m²,2,4,2,1,N/A,N/A,1300 Watt,Unfurnished,2021
Tangerang,Tangerang,-6.1701796,106.6403236,19/05/2024,Rp 377.000.000,70 m²,36 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,12/05/2024,Rp 700.000.000,60 m²,55 m²,2,3,2,1,N/A,SHM,2197 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,12/05/2024,Rp 400.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Periuk,Tangerang,-6.169601399999999,106.6008985,05/05/2024,Rp 755.000.000,73 m²,50 m²,2,3,2,1,N/A,SHM,2200 Watt,Semi Furnished,2014
Benda,Tangerang,-6.1381805,106.6721132,21/04/2024,Rp 1.349.000.000,121 m²,132 m²,2,3,2,N/A,N/A,N/A,N/A,N/A,N/A
Cikupa,Tangerang,-6.2181325,106.4970097,17/03/2024,Rp 2.000.000.000,180 m²,360 m²,2,3,3,N/A,N/A,SHM,4500 Watt,Full Furnished,2021
Tangerang,Tangerang,-6.1701796,106.6403236,21/02/2024,Rp 950.000.005,72 m²,67 m²,N/A,3,2,1,N/A,SHM,1300 Watt,Unfurnished,2023
Karawaci,Tangerang,-6.1855302,106.6131874,21/02/2024,Rp 5.800.000.000,313 m²,350 m²,2,5,4,2,2,SHM,7700 Watt,Semi Furnished,2015
Curug,Tangerang,-6.2540795,106.5609134,21/02/2024,Rp 900.000.000,72 m²,72 m²,1,2,1,1,N/A,SHM,3300 Watt,Unfurnished,N/A
Kelapa Dua,Tangerang,-6.2450323,106.6127606,21/02/2024,Rp 990.000.000,48 m²,57 m²,2,2,2,1,N/A,PPJB,2200 Watt,Unfurnished,2017
Pagedangan,Tangerang,-6.266416899999999,106.6223087,29/02/2024,Rp 1.100.000.000,40 m²,60 m²,2,2,2,1,1,PPJB,2200 Watt,Semi Furnished,2017
Benda,Tangerang,-6.1444364,106.6826077,21/02/2024,Rp 4.500.000.000,240 m²,265 m²,2,6,4,1,N/A,SHM,5500 Watt,N/A,N/A
Cipondoh,Tangerang,-6.1866281,106.6825964,29/02/2024,Rp 2.400.000.000,90 m²,125 m²,2,3,2,1,N/A,SHM,4400 Watt,Unfurnished,2011
Pinang,Tangerang,-6.222638799999999,106.6920099,21/02/2024,Rp 1.000.000.000,120 m²,60 m²,1,2,2,1,N/A,SHM,1300 Watt,Unfurnished,N/A
Tangerang,Tangerang,-6.2409034,106.6288212,01/03/2024,Rp 600.000.000,62 m²,45 m²,2,3,2,1,1,SHM,1300 Watt,Unfurnished,2023
Tangerang,Banten,-6.1701796,106.6403236,21/02/2024,Rp 600.000.000,72 m²,50 m²,1,2,1,1,N/A,SHM,1300 Watt,N/A,2019
Cipondoh,Tangerang,-6.1866281,106.6825964,11/05/2024,Rp 3.100.000.000,190 m²,196 m²,N/A,3,3,2,N/A,SHM,4400 Watt,N/A,N/A
Cipondoh,Tangerang,-6.1934271,106.6559444,11/05/2024,Rp 2.500.000.000,128 m²,130 m²,2,4,3,1,N/A,SHM,2200 Watt,Semi Furnished,2023
Cisauk,Tangerang,-6.360460199999999,106.6300093,08/03/2024,Rp 2.421.465.230,111 m²,104 m²,2,4,3,1,1,SHM,2200 Watt,Unfurnished,2023
