district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
summarecon,Babelan,-6.2277207,107.0016494,01/06/2024,Rp 345.000.000,60 m²,40 m²,1,2,1,N/A,1,SHM,N/A,Unfurnished,2014
Jatiwarna,Rawalumbu,-6.3033511,106.9270066,28/05/2024,Rp 975.000.000,125 m²,82 m²,N/A,2,1,1,N/A,SHM,N/A,N/A,N/A
Pondokmelati,Bekasi,-6.296440899999999,106.9215663,02/06/2024,Rp 1.265.000.000,90 m²,110 m²,2,3,3,2,N/A,SHM,2200 Watt,Unfurnished,2024
Bekasi Timur,Bekasi,-6.2491162,107.013564,02/06/2024,Rp 460.000.005,60 m²,45 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,02/06/2024,Rp 580.000.005,85 m²,55 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,02/06/2024,Rp 1.300.000.000,80 m²,120 m²,2,3,3,2,N/A,SHM,2200 Watt,Unfurnished,2024
Deltamas,Cikarang Pusat,-6.3651654,107.1823911,02/06/2024,Rp 1.090.000.000,98 m²,102 m²,2,4,2,2,N/A,SHM,2200 Watt,Semi Furnished,2024
Graha Harapan Bumyagara,Mustikajaya,-6.303947,107.0268962,02/06/2024,Rp 800.000.008,96 m²,75 m²,1,3,1,1,N/A,SHM,1298 Watt,Unfurnished,2021
Rawalumbu,Bekasi,-6.277895399999999,106.9918311,02/06/2024,Rp 860.000.000,84 m²,99 m²,2,3,3,1,N/A,SHM,2200 Watt,Unfurnished,2023
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,02/06/2024,Rp 775.000.005,100 m²,80 m²,N/A,3,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Bekasi Utara,Bekasi,-6.211765499999999,107.0038512,02/06/2024,Rp 985.000.000,135 m²,135 m²,1,3,2,1,N/A,SHM,2200 Watt,Unfurnished,2024
Vida Bumipala,Mustikajaya,-6.3217601,106.9981644,02/06/2024,Rp 2.000.000.008,98 m²,196 m²,2,4,3,2,N/A,SHM,1300 Watt,Semi Furnished,2023
Vida Bumipala,Mustikajaya,-6.3217601,106.9981644,02/06/2024,Rp 550.000.008,52 m²,108 m²,2,2,2,1,N/A,SHM,1300 Watt,Unfurnished,2020
summarecon,Bekasi Utara,-6.2277207,107.0016494,02/06/2024,Rp 565.000.000,60 m²,44 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Mustikajaya,Bekasi,-6.296142800000001,107.0214912,02/06/2024,Rp 575.000.005,70 m²,50 m²,N/A,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2023
Vida Bumipala,Mustikajaya,-6.3217601,106.9981644,02/06/2024,Rp 535.000.008,60 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2020
grand wisata,Mustikajaya,-6.296142800000001,107.0214912,02/06/2024,Rp 799.000.000,69 m²,108 m²,2,4,2,1,N/A,SHM,2199 Watt,Unfurnished,2024
