district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Cilodong,Depok,-6.425319699999999,106.8502064,10/05/2024,Rp 599.000.000,96 m²,65 m²,2,2,1,1,1,SHM,2200 Watt,Unfurnished,2023
Cipayung,Depok,-6.4197444,106.796065,02/06/2024,Rp 400.000.000,60 m²,40 m²,1,2,1,1,N/A,SHM,N/A,Semi Furnished,2020
Sawangan,Depok,-6.436817899999999,106.8170478,26/05/2024,Rp 800.000.000,70 m²,72 m²,2,3,2,2,N/A,SHM,2200 Watt,Semi Furnished,2024
Sawangan,Depok,-6.407547,106.7555867,30/04/2024,Rp 680.000.000,62 m²,49 m²,2,2,2,1,N/A,SHM,2200 Watt,Unfurnished,2023
Sawangan,Depok,-6.412430199999999,106.7801233,18/03/2024,Rp 635.000.000,84 m²,75 m²,2,3,3,2,N/A,SHM,2200 Watt,N/A,N/A
Sawangan,Depok,-6.407547,106.7555867,02/06/2024,Rp 815.000.000,48 m²,86 m²,2,3,2,1,N/A,SHM,2200 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cilodong,Depok,-6.436980699999999,106.8355372,27/05/2024,Rp 860.000.000,92 m²,60 m²,1,3,2,2,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,62 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,60 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,60 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Sukma Jaya,Depok,-6.4189393,106.8384873,27/05/2024,Rp 1.375.000.000,78 m²,90 m²,2,3,2,1,1,SHM,2200 Watt,Unfurnished,2024
Cipayung,Depok,-6.4197444,106.796065,27/05/2024,Rp 250.000.000,60 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Beji,Depok,-6.3685044,106.8081252,27/05/2024,Rp 1.850.000.000,90 m²,140 m²,2,5,5,1,1,SHM,N/A,Unfurnished,N/A
Cinere,Depok,-6.3333023,106.7828744,27/05/2024,Rp 985.000.000,60 m²,55 m²,2,2,2,1,N/A,SHM,N/A,Unfurnished,2021
